,OLD_DATA,START_DATA
826,6/3/2006,2006/03/06
827,8/22/2011,2011/08/22
828,8/26/2006,2006/08/26
829,4/1/2010,2010/01/04
830,3/27/2014,2014/03/27
831,3/24/2006,2006/03/24
832,7/1/2015,2015/01/07
833,3/19/2010,2010/03/19
834,8/13/2013,2013/08/13
835,5/10/2014,2014/10/05
836,6/6/2010,2010/06/06
837,6/25/2008,2008/06/25
838,5/13/2008,2008/05/13
839,2/26/2016,2016/02/26
840,7/27/2006,2006/07/27
841,9/26/2012,2012/09/26
842,4/30/2015,2015/04/30
843,8/26/2006,2006/08/26
844,8/31/2007,2007/08/31
845,2/23/2007,2007/02/23
846,3/4/2015,2015/04/03
847,10/1/2011,2011/01/10
848,9/19/2006,2006/09/19
849,7/8/2008,2008/08/07
850,4/18/2009,2009/04/18
851,4/18/2012,2012/04/18
852,10/7/2011,2011/07/10
853,10/25/2015,2015/10/25
854,4/19/2015,2015/04/19
855,4/6/2012,2012/06/04
856,10/20/2007,2007/10/20
857,4/3/2007,2007/03/04
858,4/23/2013,2013/04/23
859,10/21/2006,2006/10/21
860,7/28/2006,2006/07/28
861,7/20/2010,2010/07/20
862,10/23/2007,2007/10/23
863,2/23/2010,2010/02/23
864,4/12/2015,2015/12/04
865,12/24/2013,2013/12/24
866,3/11/2011,2011/11/03
867,6/27/2014,2014/06/27
868,7/22/2008,2008/07/22
